data;
param n := 100;
param m := 4;
param nu := 1;
param x : 1 2 3 4 :=

1 0.618 0.363 0.461 0.895
2 0.651 0.662 0.429 0.052
3 0.02 0.826 0.402 0.765
4 0.093 0.623 0.675 0.87
5 0.632 0.004 0.29 0.032
6 0.89 0.099 0.735 0.842
7 0.881 0.088 0.91 0.463
8 0.773 0.369 0.185 0.655
9 0.536 0.657 0.409 0.507
10 0.847 0.234 0.824 0.623
11 0.345 0.723 0.848 0.266
12 0.358 0.067 0.188 0.077
13 0.469 0.261 0.135 0.061
14 0.48 0.215 0.357 0.564
15 0.66 0.135 0.76 0.642
16 0.212 0.092 0.568 0.961
17 0.461 0.391 0.17 0.39
18 0.097 0.679 0.999 0.23
19 0.169 0.326 0.253 0.973
20 0.95 0.099 0.569 0.125
21 0.879 0.394 0.325 0.111
22 0.149 0.053 0.686 0.075
23 0.029 0.052 0.359 0.836
24 0.319 0.449 0.767 0.191
25 0.208 0.188 0.634 0.317
26 0.115 0.309 0.39 0.202
27 0.404 0.3 0.306 0.68
28 0.292 0.166 0.95 0.414
29 0.244 0.101 0.576 0.978
30 0.294 0.831 0.303 0.166
31 0.165 0.197 0.733 0.273
32 0.162 0.623 0.209 0.47
33 0.361 0.202 0.642 0.69
34 0.15 0.736 0.982 0.541
35 0.255 0.848 0.17 0.389
36 0.393 0.009 0.865 0.216
37 0.473 0.026 0.265 0.844
38 0.344 0.29 0.959 0.785
39 0.517 0.705 0.577 0.41
40 0.119 0.384 0.703 0.76
41 0.787 0.465 0.181 0.469
42 0.295 0.106 0.251 0.282
43 0.993 0.453 0.181 0.688
44 0.11 0.198 0.829 0.693
45 0.11 0.618 0.147 0.115
46 0.713 0.02 0.031 0.866
47 0.303 0.206 0.096 0.566
48 0.581 0.738 0.49 0.714
49 0.285 0.412 0.861 0.138
50 0.34 0.676 0.726 0.067
51 0.369 0.659 0.119 0.265
52 0.592 0.177 0.077 0.457
53 0.094 0.035 0.22 0.598
54 0.361 0.531 0.961 0.9
55 0.275 0.74 0.675 0.673
56 0.588 0.6 0.54 0.96
57 0.599 0.359 0.328 0.064
58 0.824 0.263 0.707 0.961
59 0.269 0.85 0.375 0.321
60 0.489 0.568 0.288 0.583
61 0.068 0.411 0.771 0.241
62 0.962 0.113 0.221 0.82
63 0.853 0.598 0.214 0.59
64 0.846 0.245 0.266 0.445
65 0.115 0.107 0.938 0.946
66 0.789 0.432 0.434 0.223
67 0.247 0.797 0.127 0.017
68 0.699 0.914 0.106 0.374
69 0.052 0.264 0.183 0.32
70 0.68 0.971 0.239 0.84
71 0.283 0.162 0.624 0.096
72 0.582 0.743 0.955 0.715
73 0.385 0.575 0.451 0.912
74 0.555 0.982 0.806 0.508
75 0.189 0.766 0.821 0.8
76 0.323 0.418 0.74 0.558
77 0.679 0.373 0.7 0.44
78 0.548 0.02 0.142 0.351
79 0.29 0.097 0.262 0.096
80 0.287 0.889 0.375 0.466
81 0.536 0.422 0.601 0.294
82 0.736 0.416 0.025 0.27
83 0.631 0.011 0.69 0.846
84 0.294 0.564 0.764 0.115
85 0.248 0.09 0.006 0.978
86 0.072 0.087 0.804 0.147
87 0.078 0.111 0.816 0.045
88 0.279 0.241 0.794 0.713
89 0.919 0.543 0.218 0.779
90 0.612 0.404 0.592 0.572
91 0.816 0.342 0.657 0.381
92 0.675 0.25 0.795 0.881
93 0.991 0.791 0.969 0.976
94 0.532 0.89 0.729 0.077
95 0.955 0.605 0.72 0.743
96 0.155 0.053 0.85 0.871
97 0.028 0.226 0.388 0.752
98 0.481 0.79 0.607 0.31
99 0.395 0.955 0.68 0.973
100 0.153 0.064 0.799 0.042;
param y:=

1 1
2 -1
3 1
4 1
5 -1
6 1
7 1
8 -1
9 1
10 1
11 1
12 -1
13 -1
14 -1
15 1
16 -1
17 -1
18 1
19 -1
20 -1
21 -1
22 -1
23 -1
24 -1
25 -1
26 -1
27 -1
28 -1
29 -1
30 -1
31 -1
32 -1
33 -1
34 1
35 -1
36 1
37 -1
38 1
39 1
40 1
41 -1
42 -1
43 1
44 -1
45 -1
46 -1
47 -1
48 1
49 -1
50 -1
51 -1
52 -1
53 -1
54 1
55 1
56 1
57 -1
58 1
59 -1
60 -1
61 -1
62 1
63 1
64 -1
65 1
66 -1
67 -1
68 1
69 -1
70 1
71 -1
72 1
73 1
74 1
75 1
76 1
77 1
78 1
79 -1
80 1
81 -1
82 1
83 1
84 -1
85 -1
86 -1
87 -1
88 1
89 -1
90 1
91 1
92 1
93 1
94 1
95 1
96 -1
97 -1
98 1
99 1
100 -1;
